:START_ID,:END_ID,:TYPE,properties
CommandLine:.bat.exe,CommandLine,Field,
Image:\\xcopy.exe,Image,Field,
CommandLine:pwsh.exe,CommandLine,Field,
CommandLine:.bat.exe,CommandLine,Field,
Image:\\attrib.exe,Image,Field,
CommandLine:+s,CommandLine,Field,
CommandLine:+h,CommandLine,Field,
CommandLine:.bat.exe,CommandLine,Field,
CommandLine:[System.Net.WebRequest]::create,CommandLine,Field,
CommandLine:curl ,CommandLine,Field,
CommandLine:Invoke-RestMethod,CommandLine,Field,
CommandLine:Invoke-WebRequest,CommandLine,Field,
CommandLine:iwr ,CommandLine,Field,
CommandLine:Net.WebClient,CommandLine,Field,
CommandLine:Resume-BitsTransfer,CommandLine,Field,
CommandLine:Start-BitsTransfer,CommandLine,Field,
CommandLine:wget ,CommandLine,Field,
CommandLine:WinHttp.WinHttpRequest,CommandLine,Field,
Image:\\wmic.exe,Image,Field,
CommandLine:-format,CommandLine,Field,
CommandLine:Format:List,CommandLine,Field,
CommandLine:Format:htable,CommandLine,Field,
CommandLine:Format:hform,CommandLine,Field,
CommandLine:Format:table,CommandLine,Field,
CommandLine:Format:mof,CommandLine,Field,
CommandLine:Format:value,CommandLine,Field,
CommandLine:Format:rawxml,CommandLine,Field,
CommandLine:Format:xml,CommandLine,Field,
CommandLine:Format:csv,CommandLine,Field,
ParentImage:\\chrome.exe,ParentImage,Field,
ParentImage:\\discord.exe,ParentImage,Field,
ParentImage:\\GitHubDesktop.exe,ParentImage,Field,
ParentImage:\\keybase.exe,ParentImage,Field,
ParentImage:\\msedge.exe,ParentImage,Field,
ParentImage:\\msedgewebview2.exe,ParentImage,Field,
ParentImage:\\msteams.exe,ParentImage,Field,
ParentImage:\\slack.exe,ParentImage,Field,
ParentImage:\\teams.exe,ParentImage,Field,
Image:\\cmd.exe,Image,Field,
Image:\\cscript.exe,Image,Field,
Image:\\mshta.exe,Image,Field,
Image:\\powershell.exe,Image,Field,
Image:\\pwsh.exe,Image,Field,
Image:\\regsvr32.exe,Image,Field,
Image:\\whoami.exe,Image,Field,
Image:\\wscript.exe,Image,Field,
Image::\\ProgramData\\,Image,Field,
Image::\\Temp\\,Image,Field,
