:START_ID,:END_ID,:TYPE,properties
WholeLog,quoted string not properly terminated,Has Artifact,
WholeLog,You have an error in your SQL syntax,Has Artifact,
WholeLog,Unclosed quotation mark,Has Artifact,
WholeLog,"near ""*"": syntax error",Has Artifact,
WholeLog,SELECTs to the left and right of UNION do not have the same number of result columns,Has Artifact,
verb,create,Has Artifact,
objectRef.resource,pods,Has Artifact,
objectRef.subresource,exec,Has Artifact,
objectRef.apiGroup,rbac.authorization.k8s.io,Has Artifact,
objectRef.resource,clusterrolebindings,Has Artifact,
objectRef.resource,rolebindings,Has Artifact,
verb,create,Has Artifact,
verb,delete,Has Artifact,
verb,patch,Has Artifact,
verb,replace,Has Artifact,
verb,update,Has Artifact,
verb,patch,Has Artifact,
apiGroup,apps,Has Artifact,
objectRef.resource,deployments,Has Artifact,
verb,delete,Has Artifact,
objectRef.resource,events,Has Artifact,
verb,create,Has Artifact,
objectRef.resource,pods,Has Artifact,
objectRef.namespace,kube-system,Has Artifact,
objectRef.apiGroup,batch,Has Artifact,
objectRef.resource,cronjobs,Has Artifact,
objectRef.resource,jobs,Has Artifact,
verb,create,Has Artifact,
verb,delete,Has Artifact,
verb,patch,Has Artifact,
verb,replace,Has Artifact,
verb,update,Has Artifact,
objectRef.resource,secrets,Has Artifact,
verb,create,Has Artifact,
verb,delete,Has Artifact,
verb,patch,Has Artifact,
verb,replace,Has Artifact,
verb,update,Has Artifact,
objectRef.apiGroup,admissionregistration.k8s.io,Has Artifact,
objectRef.resource,mutatingwebhookconfigurations,Has Artifact,
objectRef.resource,validatingwebhookconfigurations,Has Artifact,
verb,create,Has Artifact,
verb,delete,Has Artifact,
verb,patch,Has Artifact,
verb,replace,Has Artifact,
verb,update,Has Artifact,
WholeLog,SuspiciousOperation,Has Artifact,
WholeLog,DisallowedHost,Has Artifact,
WholeLog,DisallowedModelAdminLookup,Has Artifact,
WholeLog,DisallowedModelAdminToField,Has Artifact,
WholeLog,DisallowedRedirect,Has Artifact,
WholeLog,InvalidSessionKey,Has Artifact,
WholeLog,RequestDataTooBig,Has Artifact,
WholeLog,SuspiciousFileOperation,Has Artifact,
WholeLog,SuspiciousMultipartForm,Has Artifact,
WholeLog,SuspiciousSession,Has Artifact,
WholeLog,TooManyFieldsSent,Has Artifact,
WholeLog,PermissionDenied,Has Artifact,
WholeLog,ParseErrorException,Has Artifact,
WholeLog,VelocityException,Has Artifact,
WholeLog,TemplateInitException,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,4b324fc8-1670-01d3-1278-5a47bf6ee188,Has Artifact,
OpNum,12,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,367abb81-9844-35f1-ad32-98f038001003,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,e3514235-4b06-11d1-ab04-00c04fc2dcd2,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,6bffd098-a112-3610-9833-46c3f87e345a,Has Artifact,
OpNum,2,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,86d35949-83c9-4044-b424-db363231fd0c,Has Artifact,
OpNum,1,Has Artifact,
OpNum,3,Has Artifact,
OpNum,4,Has Artifact,
OpNum,10,Has Artifact,
OpNum,11,Has Artifact,
OpNum,12,Has Artifact,
OpNum,13,Has Artifact,
OpNum,14,Has Artifact,
OpNum,15,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,1ff70682-0a51-30e8-076d-740be8cee98b,Has Artifact,
OpNum,0,Has Artifact,
OpNum,1,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,378e52b0-c0a9-11cf-822d-00aa0051e40f,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,12345678-1234-abcd-ef00-0123456789ab,Has Artifact,
InterfaceUuid,76f03f96-cdfd-44fc-a22c-64950a001209,Has Artifact,
InterfaceUuid,0b6edbfa-4a24-4fc6-8a23-942b1eca65d1,Has Artifact,
InterfaceUuid,ae33069b-a2a8-46ee-a235-ddfd339be281,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,4d9f4ab8-7d1c-11cf-861e-0020af6e7c57,Has Artifact,
InterfaceUuid,99fcfec4-5260-101b-bbcb-00aa0021347a,Has Artifact,
InterfaceUuid,000001a0-0000-0000-c000-000000000046,Has Artifact,
InterfaceUuid,00000131-0000-0000-c000-000000000046,Has Artifact,
InterfaceUuid,00000143-0000-0000-c000-000000000046,Has Artifact,
InterfaceUuid,00000000-0000-0000-c000-000000000046,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,df1941c5-fe89-4e79-bf10-463657acf44d,Has Artifact,
InterfaceUuid,c681d488-d850-11d0-8c52-00c04fd90f7e,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,86d35949-83c9-4044-b424-db363231fd0c,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,378e52b0-c0a9-11cf-822d-00aa0051e40f,Has Artifact,
OpNum,0,Has Artifact,
OpNum,1,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,1ff70682-0a51-30e8-076d-740be8cee98b,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,4b324fc8-1670-01d3-1278-5a47bf6ee188,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,338cd001-2244-31f1-aaaa-900038001003,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,338cd001-2244-31f1-aaaa-900038001003,Has Artifact,
OpNum,6,Has Artifact,
OpNum,7,Has Artifact,
OpNum,8,Has Artifact,
OpNum,13,Has Artifact,
OpNum,18,Has Artifact,
OpNum,19,Has Artifact,
OpNum,21,Has Artifact,
OpNum,22,Has Artifact,
OpNum,23,Has Artifact,
OpNum,35,Has Artifact,
EventLog,RPCFW,Has Artifact,
InterfaceUuid,82273fdc-e32a-18c3-3f78-827929dc23ea,Has Artifact,
InterfaceUuid,f6beaff7-1e19-4fbb-9f8f-b89e2018337c,Has Artifact,
WholeLog,node:child_process,Has Artifact,
WholeLog,DataError,Has Artifact,
WholeLog,IntegrityError,Has Artifact,
WholeLog,ProgrammingError,Has Artifact,
WholeLog,OperationalError,Has Artifact,
WholeLog,Cannot run program,Has Artifact,
WholeLog,java.lang.ProcessImpl,Has Artifact,
WholeLog,java.lang.ProcessBuilder,Has Artifact,
WholeLog,org.apache.commons.ognl.OgnlException,Has Artifact,
WholeLog,ExpressionSyntaxException,Has Artifact,
WholeLog,com.sun.jndi.ldap.,Has Artifact,
WholeLog,org.apache.logging.log4j.core.net.JndiManager,Has Artifact,
WholeLog,SAXParseException,Has Artifact,
WholeLog,DOMException,Has Artifact,
WholeLog,ActionController::InvalidAuthenticityToken,Has Artifact,
WholeLog,ActionController::InvalidCrossOriginRequest,Has Artifact,
WholeLog,ActionController::MethodNotAllowed,Has Artifact,
WholeLog,ActionController::BadRequest,Has Artifact,
WholeLog,ActionController::ParameterMissing,Has Artifact,
WholeLog,AccessDeniedException,Has Artifact,
WholeLog,CsrfException,Has Artifact,
WholeLog,InvalidCsrfTokenException,Has Artifact,
WholeLog,MissingCsrfTokenException,Has Artifact,
WholeLog,CookieTheftException,Has Artifact,
WholeLog,InvalidCookieException,Has Artifact,
WholeLog,RequestRejectedException,Has Artifact,
WholeLog,org.springframework.expression.ExpressionException,Has Artifact,
logtype,8001,Has Artifact,
logtype,4000,Has Artifact,
logtype,6001,Has Artifact,
logtype,9002,Has Artifact,
logtype,10001,Has Artifact,
logtype,3001,Has Artifact,
logtype,11001,Has Artifact,
logtype,3000,Has Artifact,
logtype,4002,Has Artifact,
logtype,7001,Has Artifact,
logtype,16001,Has Artifact,
logtype,9001,Has Artifact,
logtype,5000,Has Artifact,
logtype,12001,Has Artifact,
logtype,15001,Has Artifact,
logtype,2000,Has Artifact,
logtype,17001,Has Artifact,
logtype,13001,Has Artifact,
TargetFilename,/etc/emond.d/rules/,Has Artifact,
TargetFilename,.plist,Has Artifact,
TargetFilename,/private/var/db/emondClients/,Has Artifact,
Image,/dsenableroot,Has Artifact,
Image,/dscl,Has Artifact,
CommandLine, -append ,Has Artifact,
CommandLine, /Groups/admin ,Has Artifact,
CommandLine, GroupMembership ,Has Artifact,
CommandLine,delete,Has Artifact,
ParentImage,/jamf,Has Artifact,
Image,/bash,Has Artifact,
Image,/sh,Has Artifact,
Image,/dseditgroup,Has Artifact,
CommandLine, -o edit ,Has Artifact,
CommandLine, -a ,Has Artifact,
CommandLine, -t user,Has Artifact,
CommandLine,admin,Has Artifact,
ParentImage,/bash,Has Artifact,
Image,/curl,Has Artifact,
CommandLine,/sys/log.php,Has Artifact,
CommandLine,/sys/prepod.php,Has Artifact,
CommandLine,/sys/bin/Pods,Has Artifact,
CommandLine,https://,Has Artifact,
ParentImage,/bash,Has Artifact,
Image,/osacompile,Has Artifact,
CommandLine,/Users/,Has Artifact,
CommandLine,/Library/Group Containers/,Has Artifact,
ParentImage,/bash,Has Artifact,
Image,/plutil,Has Artifact,
CommandLine,LSUIElement,Has Artifact,
CommandLine,/Users/,Has Artifact,
CommandLine,/Library/Group Containers/,Has Artifact,
Image,/zip,Has Artifact,
CommandLine,-r,Has Artifact,
CommandLine,/Users/,Has Artifact,
CommandLine,/Library/Group Containers/,Has Artifact,
Image,/sw_vers,Has Artifact,
CommandLine,-buildVersion,Has Artifact,
CommandLine,-productName,Has Artifact,
CommandLine,-productVersion,Has Artifact,
Image,/launchctl,Has Artifact,
CommandLine,submit,Has Artifact,
CommandLine,load,Has Artifact,
CommandLine,start,Has Artifact,
CommandLine,SPApplicationsDataType,Has Artifact,
CommandLine,SPHardwareDataType,Has Artifact,
CommandLine,SPNetworkDataType,Has Artifact,
CommandLine,SPUSBDataType,Has Artifact,
CommandLine,nessusd,Has Artifact,
