:START_ID,:END_ID,:TYPE,properties
Suspicious SQL Error Messages,definition0001,Log Definition,
Potential Server Side Template Injection In Velocity,definition0002,Log Definition,
SharpHound Recon Sessions,definition0003,Log Definition,
Remote Server Service Abuse for Lateral Movement,definition0004,Log Definition,
Possible DCSync Attack,definition0005,Log Definition,
SharpHound Recon Account Discovery,definition0006,Log Definition,
Remote Schedule Task Lateral Movement via ITaskSchedulerService,definition0007,Log Definition,
Remote Schedule Task Lateral Movement via ATSvc,definition0008,Log Definition,
Recon Activity via SASec,definition0009,Log Definition,
Remote Printing Abuse for Lateral Movement,definition0010,Log Definition,
Remote DCOM/WMI Lateral Movement,definition0011,Log Definition,
Remote Encrypting File System Abuse,definition0012,Log Definition,
Remote Schedule Task Recon via ITaskSchedulerService,definition0013,Log Definition,
Remote Schedule Task Lateral Movement via SASec,definition0014,Log Definition,
Remote Schedule Task Recon via AtScv,definition0015,Log Definition,
Remote Server Service Abuse,definition0016,Log Definition,
Remote Registry Recon,definition0017,Log Definition,
Remote Registry Lateral Movement,definition0018,Log Definition,
Remote Event Log Recon,definition0019,Log Definition,
Potential RCE Exploitation Attempt In NodeJS,definition0020,Log Definition,
Process Execution Error In JVM Based Application,definition0021,Log Definition,
Potential OGNL Injection Exploitation In JVM Based Application,definition0022,Log Definition,
Potential JNDI Injection Exploitation In JVM Based Application,definition0023,Log Definition,
Potential XXE Exploitation Attempt In JVM Based Application,definition0024,Log Definition,
Potential Local File Read Vulnerability In JVM Based Application,definition0025,Log Definition,
Potential SpEL Injection In Spring Framework,definition0026,Log Definition,
Multi Factor Authentication Disabled For User Account,definition0027,Log Definition,
Bitbucket Unauthorized Full Data Export Triggered,definition0028,Log Definition,
Bitbucket Global Permission Changed,definition0029,Log Definition,
Bitbucket Secret Scanning Exempt Repository Added,definition0030,Log Definition,
Bitbucket User Details Export Attempt Detected,definition0031,Log Definition,
Bitbucket User Permissions Export Attempt,definition0032,Log Definition,
Bitbucket User Login Failure,definition0033,Log Definition,
Bitbucket Global SSH Settings Changed,definition0034,Log Definition,
Bitbucket Full Data Export Triggered,definition0035,Log Definition,
Bitbucket Unauthorized Access To A Resource,definition0036,Log Definition,
Bitbucket Global Secret Scanning Rule Deleted,definition0037,Log Definition,
Bitbucket User Login Failure Via SSH,definition0038,Log Definition,
Bitbucket Audit Log Configuration Updated,definition0039,Log Definition,
Github Push Protection Disabled,definition0040,Log Definition,
Github Delete Action Invoked,definition0041,Log Definition,
Github Outside Collaborator Detected,definition0042,Log Definition,
Github Fork Private Repositories Setting Enabled/Cleared,definition0043,Log Definition,
Github High Risk Configuration Disabled,definition0044,Log Definition,
Outdated Dependency Or Vulnerability Alert Disabled,definition0045,Log Definition,
Github Secret Scanning Feature Disabled,definition0046,Log Definition,
Github Repository/Organization Transferred,definition0047,Log Definition,
Github SSH Certificate Configuration Changed,definition0048,Log Definition,
PST Export Alert Using eDiscovery Alert,definition0049,Log Definition,
Python Initiated Connection,definition0050,Log Definition,
Potentially Suspicious Wuauclt Network Connection,definition0051,Log Definition,
HackTool Named File Stream Created,definition0052,Log Definition,
Hidden Executable In NTFS Alternate Data Stream,definition0053,Log Definition,
Potential Active Directory Reconnaissance/Enumeration Via LDAP,definition0054,Log Definition,
MSSQL SPProcoption Set,definition0055,Log Definition,
MSSQL Add Account To Sysadmin Role,definition0056,Log Definition,
MSSQL Destructive Query,definition0057,Log Definition,
MSSQL Server Failed Logon From External Network,definition0058,Log Definition,
MSSQL XPCmdshell Suspicious Execution,definition0059,Log Definition,
MSSQL Disable Audit Settings,definition0060,Log Definition,
