:START_ID,:END_ID,:TYPE,properties
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
network_connection,DestinationHostname,Logs,
windows,DestinationHostname,Logs,
windows,network_connection,Logs,
network_connection,Image,Logs,
windows,Image,Logs,
network_connection,CommandLine,Logs,
windows,CommandLine,Logs,
windows,network_connection,Logs,
network_connection,Image,Logs,
windows,Image,Logs,
windows,network_connection,Logs,
network_connection,Image,Logs,
windows,Image,Logs,
windows,network_connection,Logs,
network_connection,Image,Logs,
windows,Image,Logs,
network_connection,Image,Logs,
windows,Image,Logs,
network_connection,Initiated,Logs,
windows,Initiated,Logs,
windows,network_connection,Logs,
