:START_ID,:END_ID,:TYPE,properties
sql,application,Logs,
application,WholeLog,Logs,
sql,WholeLog,Logs,
application,WholeLog,Logs,
sql,WholeLog,Logs,
application,WholeLog,Logs,
sql,WholeLog,Logs,
application,WholeLog,Logs,
sql,WholeLog,Logs,
application,WholeLog,Logs,
sql,WholeLog,Logs,
kubernetes,application,Logs,
application,audit,Logs,
kubernetes,audit,Logs,
application,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
application,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
application,objectRef.subresource,Logs,
audit,objectRef.subresource,Logs,
kubernetes,objectRef.subresource,Logs,
kubernetes,audit,Logs,
audit,objectRef.apiGroup,Logs,
kubernetes,objectRef.apiGroup,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
kubernetes,application,Logs,
application,audit,Logs,
kubernetes,audit,Logs,
application,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
application,apiGroup,Logs,
audit,apiGroup,Logs,
kubernetes,apiGroup,Logs,
application,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
kubernetes,application,Logs,
application,audit,Logs,
kubernetes,audit,Logs,
application,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
application,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
kubernetes,application,Logs,
application,audit,Logs,
kubernetes,audit,Logs,
application,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
application,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
application,objectRef.namespace,Logs,
audit,objectRef.namespace,Logs,
kubernetes,objectRef.namespace,Logs,
kubernetes,audit,Logs,
audit,objectRef.apiGroup,Logs,
kubernetes,objectRef.apiGroup,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
kubernetes,audit,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
kubernetes,audit,Logs,
audit,objectRef.apiGroup,Logs,
kubernetes,objectRef.apiGroup,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,objectRef.resource,Logs,
kubernetes,objectRef.resource,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
audit,verb,Logs,
kubernetes,verb,Logs,
django,application,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
application,WholeLog,Logs,
django,WholeLog,Logs,
velocity,application,Logs,
application,WholeLog,Logs,
velocity,WholeLog,Logs,
application,WholeLog,Logs,
velocity,WholeLog,Logs,
application,WholeLog,Logs,
velocity,WholeLog,Logs,
rpc_firewall,application,Logs,
application,3,Logs,
3,EventLog,Logs,
application,EventLog,Logs,
rpc_firewall,EventLog,Logs,
3,InterfaceUuid,Logs,
application,InterfaceUuid,Logs,
rpc_firewall,InterfaceUuid,Logs,
3,OpNum,Logs,
application,OpNum,Logs,
rpc_firewall,OpNum,Logs,
rpc_firewall,application,Logs,
application,3,Logs,
3,EventLog,Logs,
application,EventLog,Logs,
rpc_firewall,EventLog,Logs,
3,InterfaceUuid,Logs,
application,InterfaceUuid,Logs,
