:START_ID,:END_ID,:TYPE,properties
KrbRelayUp Service Installation,privilege-escalation,Monitors for,
Invoke-Obfuscation CLIP+ Launcher - System,t1027,Monitors for,
Invoke-Obfuscation CLIP+ Launcher - System,t1059.001,Monitors for,
Invoke-Obfuscation CLIP+ Launcher - System,defense-evasion,Monitors for,
Invoke-Obfuscation CLIP+ Launcher - System,execution,Monitors for,
Invoke-Obfuscation Via Use Clip - System,t1027,Monitors for,
Invoke-Obfuscation Via Use Clip - System,t1059.001,Monitors for,
Invoke-Obfuscation Via Use Clip - System,defense-evasion,Monitors for,
Invoke-Obfuscation Via Use Clip - System,execution,Monitors for,
Moriya Rootkit - System,t1543.003,Monitors for,
Moriya Rootkit - System,persistence,Monitors for,
Moriya Rootkit - System,privilege-escalation,Monitors for,
Uncommon Service Installation Image Path,t1543.003,Monitors for,
Uncommon Service Installation Image Path,persistence,Monitors for,
Uncommon Service Installation Image Path,privilege-escalation,Monitors for,
New PDQDeploy Service - Server Side,t1543.003,Monitors for,
New PDQDeploy Service - Server Side,privilege-escalation,Monitors for,
NetSupport Manager Service Install,persistence,Monitors for,
Invoke-Obfuscation VAR++ LAUNCHER OBFUSCATION - System,t1027,Monitors for,
Invoke-Obfuscation VAR++ LAUNCHER OBFUSCATION - System,t1059.001,Monitors for,
Invoke-Obfuscation VAR++ LAUNCHER OBFUSCATION - System,defense-evasion,Monitors for,
Invoke-Obfuscation VAR++ LAUNCHER OBFUSCATION - System,execution,Monitors for,
Meterpreter or Cobalt Strike Getsystem Service Installation - System,t1134.001,Monitors for,
Meterpreter or Cobalt Strike Getsystem Service Installation - System,t1134.002,Monitors for,
Meterpreter or Cobalt Strike Getsystem Service Installation - System,privilege-escalation,Monitors for,
PowerShell Scripts Installed as Services,t1569.002,Monitors for,
PowerShell Scripts Installed as Services,execution,Monitors for,
PAExec Service Installation,t1569.002,Monitors for,
PAExec Service Installation,execution,Monitors for,
Invoke-Obfuscation Via Stdin - System,t1027,Monitors for,
Invoke-Obfuscation Via Stdin - System,t1059.001,Monitors for,
Invoke-Obfuscation Via Stdin - System,defense-evasion,Monitors for,
Invoke-Obfuscation Via Stdin - System,execution,Monitors for,
Service Installed By Unusual Client - System,t1543,Monitors for,
Service Installed By Unusual Client - System,privilege-escalation,Monitors for,
Invoke-Obfuscation COMPRESS OBFUSCATION - System,t1027,Monitors for,
Invoke-Obfuscation COMPRESS OBFUSCATION - System,t1059.001,Monitors for,
Invoke-Obfuscation COMPRESS OBFUSCATION - System,defense-evasion,Monitors for,
Invoke-Obfuscation COMPRESS OBFUSCATION - System,execution,Monitors for,
Important Windows Service Terminated Unexpectedly,defense-evasion,Monitors for,
PsExec Service Installation,t1569.002,Monitors for,
PsExec Service Installation,s0029,Monitors for,
PsExec Service Installation,execution,Monitors for,
Sliver C2 Default Service Installation,t1543.003,Monitors for,
