:START_ID,:END_ID,:TYPE,properties
Suspicious SQL Error Messages,application,Monitors,
Suspicious SQL Error Messages,sql,Monitors,
Potential Remote Command Execution In Pod Container,application,Monitors,
Potential Remote Command Execution In Pod Container,kubernetes,Monitors,
Potential Remote Command Execution In Pod Container,audit,Monitors,
Kubernetes Rolebinding Modification,kubernetes,Monitors,
Kubernetes Rolebinding Modification,audit,Monitors,
Potential Sidecar Injection Into Running Deployment,application,Monitors,
Potential Sidecar Injection Into Running Deployment,kubernetes,Monitors,
Potential Sidecar Injection Into Running Deployment,audit,Monitors,
Kubernetes Events Deleted,application,Monitors,
Kubernetes Events Deleted,kubernetes,Monitors,
Kubernetes Events Deleted,audit,Monitors,
Creation Of Pod In System Namespace,application,Monitors,
Creation Of Pod In System Namespace,kubernetes,Monitors,
Creation Of Pod In System Namespace,audit,Monitors,
Kubernetes CronJob/Job Modification,kubernetes,Monitors,
Kubernetes CronJob/Job Modification,audit,Monitors,
Kubernetes Secrets Modified or Deleted,kubernetes,Monitors,
Kubernetes Secrets Modified or Deleted,audit,Monitors,
Kubernetes Admission Controller Modification,kubernetes,Monitors,
Kubernetes Admission Controller Modification,audit,Monitors,
Django Framework Exceptions,application,Monitors,
Django Framework Exceptions,django,Monitors,
Potential Server Side Template Injection In Velocity,application,Monitors,
Potential Server Side Template Injection In Velocity,velocity,Monitors,
SharpHound Recon Sessions,application,Monitors,
SharpHound Recon Sessions,rpc_firewall,Monitors,
SharpHound Recon Sessions,3,Monitors,
Remote Server Service Abuse for Lateral Movement,application,Monitors,
Remote Server Service Abuse for Lateral Movement,rpc_firewall,Monitors,
Remote Server Service Abuse for Lateral Movement,3,Monitors,
Possible DCSync Attack,application,Monitors,
Possible DCSync Attack,rpc_firewall,Monitors,
Possible DCSync Attack,3,Monitors,
SharpHound Recon Account Discovery,application,Monitors,
SharpHound Recon Account Discovery,rpc_firewall,Monitors,
SharpHound Recon Account Discovery,3,Monitors,
Remote Schedule Task Lateral Movement via ITaskSchedulerService,application,Monitors,
Remote Schedule Task Lateral Movement via ITaskSchedulerService,rpc_firewall,Monitors,
Remote Schedule Task Lateral Movement via ITaskSchedulerService,3,Monitors,
Remote Schedule Task Lateral Movement via ATSvc,application,Monitors,
Remote Schedule Task Lateral Movement via ATSvc,rpc_firewall,Monitors,
Remote Schedule Task Lateral Movement via ATSvc,3,Monitors,
Recon Activity via SASec,application,Monitors,
Recon Activity via SASec,rpc_firewall,Monitors,
Recon Activity via SASec,3,Monitors,
Remote Printing Abuse for Lateral Movement,application,Monitors,
Remote Printing Abuse for Lateral Movement,rpc_firewall,Monitors,
Remote Printing Abuse for Lateral Movement,3,Monitors,
Remote DCOM/WMI Lateral Movement,application,Monitors,
Remote DCOM/WMI Lateral Movement,rpc_firewall,Monitors,
Remote DCOM/WMI Lateral Movement,3,Monitors,
Remote Encrypting File System Abuse,application,Monitors,
Remote Encrypting File System Abuse,rpc_firewall,Monitors,
Remote Encrypting File System Abuse,3,Monitors,
Remote Schedule Task Recon via ITaskSchedulerService,application,Monitors,
Remote Schedule Task Recon via ITaskSchedulerService,rpc_firewall,Monitors,
Remote Schedule Task Recon via ITaskSchedulerService,3,Monitors,
Remote Schedule Task Lateral Movement via SASec,application,Monitors,
