:START_ID,:END_ID,:TYPE,properties
condition0014,filter0001,Negative,
condition0018,filter0002,Negative,
condition0022,filter0003,Negative,
condition0024,filter0004,Negative,
condition0026,filter0005,Negative,
condition0130,selection0180,Negative,
condition0132,filter0017,Negative,
condition0176,filter0019,Negative,
condition0253,filter0020,Negative,
condition0255,filter0021,Negative,
condition0259,filter0022,Negative,
condition0278,filter0023,Negative,
condition0399,filter0204,Negative,
condition0460,filter0215,Negative,
condition0462,filter0216,Negative,
condition0561,filter0248,Negative,
condition0569,filter0249,Negative,
condition0574,filter0252,Negative,
condition0578,filter0256,Negative,
condition0582,selection0767,Negative,
condition0582,filter0259,Negative,
condition0586,filter0262,Negative,
condition0587,filter0263,Negative,
condition0602,filter0266,Negative,
condition0604,filter0269,Negative,
condition0627,filter0283,Negative,
condition0630,filter0284,Negative,
condition0636,filter0285,Negative,
condition0644,filter0288,Negative,
condition0653,filter0296,Negative,
condition0670,filter0304,Negative,
condition0699,filter0321,Negative,
condition0701,filter0323,Negative,
condition0710,filter0342,Negative,
condition0715,filter0355,Negative,
condition0723,filter0363,Negative,
condition0727,filter0369,Negative,
condition0735,filter0378,Negative,
condition0745,filter0383,Negative,
condition0757,filter0398,Negative,
condition0770,filter0413,Negative,
condition0773,filter0416,Negative,
condition0774,filter0417,Negative,
condition0776,filter0418,Negative,
condition0786,filter0425,Negative,
condition0787,filter0429,Negative,
condition0787,filter0430,Negative,
condition0787,filter0431,Negative,
condition0787,filter0432,Negative,
condition0787,filter0433,Negative,
condition0787,filter0434,Negative,
condition0799,filter0435,Negative,
condition0812,filter0448,Negative,
condition0812,filter0449,Negative,
condition0813,filter0450,Negative,
condition0818,filter0451,Negative,
condition0865,filter0480,Negative,
condition0865,filter0481,Negative,
condition0880,filter0489,Negative,
condition0885,filter0491,Negative,
condition0890,filter0493,Negative,
condition0905,filter0498,Negative,
condition0905,filter0499,Negative,
condition0919,filter0503,Negative,
condition0944,filter0511,Negative,
condition0953,filter0512,Negative,
condition0969,filter0522,Negative,
condition1006,filter0532,Negative,
condition1008,filter0534,Negative,
condition1038,filter0537,Negative,
condition1039,filter0538,Negative,
condition1045,filter0540,Negative,
condition1047,filter0541,Negative,
condition1069,filter0548,Negative,
condition1116,filter0566,Negative,
condition1143,filter0579,Negative,
condition1146,filter0580,Negative,
condition1177,selection1491,Negative,
condition1182,filter0596,Negative,
condition1195,filter0597,Negative,
condition1200,filter0598,Negative,
condition1215,filter0606,Negative,
condition1240,filter0613,Negative,
condition1259,selection1579,Negative,
condition1263,filter0624,Negative,
condition1287,filter0630,Negative,
condition1300,filter0633,Negative,
condition1301,filter0634,Negative,
condition1307,filter0636,Negative,
condition1334,filter0642,Negative,
condition1357,filter0647,Negative,
condition1363,filter0648,Negative,
condition1370,filter0650,Negative,
condition1382,filter0656,Negative,
condition1431,filter0676,Negative,
condition1452,filter0687,Negative,
condition1495,filter0702,Negative,
condition1503,filter0705,Negative,
condition1511,filter0709,Negative,
condition1536,selection1941,Negative,
condition1538,filter0718,Negative,
condition1552,filter0738,Negative,
condition1555,filter0741,Negative,
condition1555,filter0742,Negative,
condition1577,filter0749,Negative,
condition1603,filter0760,Negative,
condition1662,filter0775,Negative,
condition1677,filter0780,Negative,
condition1679,filter0781,Negative,
condition1685,filter0782,Negative,
condition1701,filter0785,Negative,
condition1726,filter0794,Negative,
condition1731,filter0795,Negative,
condition1738,filter0799,Negative,
condition1742,filter0800,Negative,
condition1745,filter0801,Negative,
condition1752,filter0802,Negative,
condition1787,filter0813,Negative,
condition1794,filter0817,Negative,
condition1817,filter0829,Negative,
condition1859,filter0845,Negative,
