:START_ID,:END_ID,:TYPE,properties
condition0001,selection0001,Positive,
condition0001,selection0002,Positive,
condition0001,selection0003,Positive,
condition0001,selection0004,Positive,
condition0001,selection0005,Positive,
condition0002,selection0006,Positive,
condition0003,selection0007,Positive,
condition0004,selection0008,Positive,
condition0005,selection0009,Positive,
condition0006,selection0010,Positive,
condition0007,selection0011,Positive,
condition0008,selection0012,Positive,
condition0009,selection0013,Positive,
condition0010,selection0014,Positive,
condition0010,selection0015,Positive,
condition0010,selection0016,Positive,
condition0010,selection0017,Positive,
condition0010,selection0018,Positive,
condition0010,selection0019,Positive,
condition0010,selection0020,Positive,
condition0010,selection0021,Positive,
condition0010,selection0022,Positive,
condition0010,selection0023,Positive,
condition0010,selection0024,Positive,
condition0010,selection0025,Positive,
condition0011,selection0026,Positive,
condition0011,selection0027,Positive,
condition0011,selection0028,Positive,
condition0012,selection0029,Positive,
condition0013,selection0030,Positive,
condition0014,selection0031,Positive,
condition0015,selection0032,Positive,
condition0016,selection0033,Positive,
condition0017,selection0034,Positive,
condition0018,selection0035,Positive,
condition0019,selection0036,Positive,
condition0020,selection0037,Positive,
condition0021,selection0038,Positive,
condition0022,selection0039,Positive,
condition0023,selection0040,Positive,
condition0024,selection0041,Positive,
condition0025,selection0042,Positive,
condition0026,selection0043,Positive,
condition0027,selection0044,Positive,
condition0028,selection0045,Positive,
condition0029,selection0046,Positive,
condition0030,selection0047,Positive,
condition0030,selection0048,Positive,
condition0030,selection0049,Positive,
condition0030,selection0050,Positive,
condition0031,selection0051,Positive,
condition0031,selection0052,Positive,
condition0031,selection0053,Positive,
condition0032,selection0054,Positive,
condition0032,selection0055,Positive,
condition0033,selection0056,Positive,
condition0033,selection0057,Positive,
condition0034,selection0058,Positive,
condition0034,selection0059,Positive,
condition0036,selection0060,Positive,
condition0036,selection0061,Positive,
condition0036,selection0062,Positive,
condition0036,selection0063,Positive,
condition0036,selection0064,Positive,
condition0037,selection0065,Positive,
condition0037,selection0066,Positive,
condition0037,selection0067,Positive,
