:START_ID,:END_ID,:TYPE,properties
selection0962,Image:\\msxsl.exe,Searches,
selection0962,Image:\\regsvr32.exe,Searches,
selection0962,Image:\\wmic.exe,Searches,
selection0962,Image:\\wscript.exe,Searches,
selection0962,ImageLoaded:\\clr.dll,Searches,
selection0962,ImageLoaded:\\mscoree.dll,Searches,
selection0962,ImageLoaded:\\mscorlib.dll,Searches,
selection0963,ImageLoaded::\\Windows \\System32\\,Searches,
selection0963,ImageLoaded::\\Windows \\SysWOW64\\,Searches,
selection0964,ImageLoaded:\\AVKkid.dll,Searches,
filter0382,Image:C:\\Program Files (x86)\\G DATA\\,Searches,
filter0382,Image:C:\\Program Files\\G DATA\\,Searches,
filter0382,Image:\\AVKKid.exe,Searches,
filter0382,ImageLoaded:C:\\Program Files (x86)\\G DATA\\,Searches,
filter0382,ImageLoaded:C:\\Program Files\\G DATA\\,Searches,
selection0965,Image:C:\\Windows\\SysWOW64\\iscsicpl.exe,Searches,
selection0965,ImageLoaded:\\iscsiexe.dll,Searches,
filter0383,ImageLoaded:C:\\Windows\\,Searches,
filter0383,ImageLoaded:iscsiexe.dll,Searches,
selection0966,ImageLoaded:\\vssapi.dll,Searches,
filter0384,Image:C:\\Program Files\\,Searches,
filter0384,Image:C:\\Program Files (x86)\\,Searches,
filter0385,Image:C:\\ProgramData\\Package Cache\\,Searches,
selection0967,Image:\\InstallUtil.exe,Searches,
selection0967,Image:\\RegAsm.exe,Searches,
selection0967,Image:\\RegSvcs.exe,Searches,
selection0967,Image:\\regsvr32.exe,Searches,
selection0967,Image:\\rundll32.exe,Searches,
filter0386,Signed:true,Searches,
filter0387,SignatureStatus:errorChaining,Searches,
filter0387,SignatureStatus:errorCode_endpoint,Searches,
filter0387,SignatureStatus:errorExpired,Searches,
filter0387,SignatureStatus:trusted,Searches,
filter0388,Signed:None,Searches,
filter0389,Signed:,Searches,
filter0389,Signed:-,Searches,
filter0390,SignatureStatus:None,Searches,
filter0391,SignatureStatus:,Searches,
filter0391,SignatureStatus:-,Searches,
selection0968,Image:\\cmstp.exe,Searches,
selection0968,ImageLoaded:\\PerfLogs\\,Searches,
selection0968,ImageLoaded:\\ProgramData\\,Searches,
selection0968,ImageLoaded:\\Users\\,Searches,
selection0968,ImageLoaded:\\Windows\\Temp\\,Searches,
selection0968,ImageLoaded:C:\\Temp\\,Searches,
selection0968,ImageLoaded:.dll,Searches,
selection0968,ImageLoaded:.ocx,Searches,
selection0969,Image:\\coregen.exe,Searches,
filter0392,ImageLoaded:C:\\Program Files (x86)\\Microsoft Silverlight\\,Searches,
filter0392,ImageLoaded:C:\\Program Files\\Microsoft Silverlight\\,Searches,
filter0392,ImageLoaded:C:\\Windows\\System32\\,Searches,
filter0392,ImageLoaded:C:\\Windows\\SysWOW64\\,Searches,
selection0970,ImageLoaded:\\vivaldi_elf.dll,Searches,
filter0393,Image:\\Vivaldi\\Application\\vivaldi.exe,Searches,
filter0393,ImageLoaded:\\Vivaldi\\Application\\,Searches,
selection0971,ImageLoaded:\\RjvPlatform.dll,Searches,
selection0971,Image:\\SystemResetPlatform.exe,Searches,
filter0394,Image:C:\\Windows\\System32\\SystemResetPlatform\\,Searches,
selection0972,Image:\\wmiprvse.exe,Searches,
selection0972,ImageLoaded:\\wbem\\wbemcomn.dll,Searches,
selection0973,ImageLoaded:\\SmadHook32c.dll,Searches,
selection0973,ImageLoaded:\\SmadHook64c.dll,Searches,
filter0395,Image:C:\\Program Files (x86)\\SMADAV\\SmadavProtect32.exe,Searches,
filter0395,Image:C:\\Program Files (x86)\\SMADAV\\SmadavProtect64.exe,Searches,
filter0395,Image:C:\\Program Files\\SMADAV\\SmadavProtect32.exe,Searches,
filter0395,Image:C:\\Program Files\\SMADAV\\SmadavProtect64.exe,Searches,
filter0395,ImageLoaded:C:\\Program Files (x86)\\SMADAV\\,Searches,
filter0395,ImageLoaded:C:\\Program Files\\SMADAV\\,Searches,
selection0974,ImageLoaded:\\AppData\\Local\\Temp\\ba9ea7344a4a5f591d6e5dc32a13494b\\,Searches,
selection0975,ImageLoaded:\\wwlib.dll,Searches,
filter0396,Image:C:\\Program Files (x86)\\Microsoft Office\\,Searches,
filter0396,Image:C:\\Program Files\\Microsoft Office\\,Searches,
filter0396,Image:\\winword.exe,Searches,
filter0396,ImageLoaded:C:\\Program Files (x86)\\Microsoft Office\\,Searches,
filter0396,ImageLoaded:C:\\Program Files\\Microsoft Office\\,Searches,
selection0976,ImageLoaded:\\hdwwiz.cpl,Searches,
selection0976,ImageLoaded:\\appwiz.cpl,Searches,
filter0397,ImageLoaded::\\Windows\\System32\\,Searches,
filter0397,ImageLoaded::\\Windows\\SysWOW64\\,Searches,
filter0397,ImageLoaded::\\Windows\\WinSxS\\,Searches,
selection0977,Image:\\VMwareXferlogs.exe,Searches,
selection0977,ImageLoaded:\\glib-2.0.dll,Searches,
filter0398,ImageLoaded:C:\\Program Files\\VMware\\,Searches,
selection0978,ImageLoaded:\\EACore.dll,Searches,
filter0399,Image:C:\\Program Files\\Electronic Arts\\EA Desktop\\,Searches,
filter0399,Image:\\EACoreServer.exe,Searches,
filter0399,ImageLoaded:C:\\Program Files\\Electronic Arts\\EA Desktop\\,Searches,
selection0979,ImageLoaded:\\goopdate.dll,Searches,
filter0400,ImageLoaded:C:\\Program Files (x86)\\,Searches,
filter0400,ImageLoaded:C:\\Program Files\\,Searches,
filter0401,Image:\\AppData\\Local\\Temp\\GUM,Searches,
filter0401,Image:.tmp\\Dropbox,Searches,
filter0401,ImageLoaded:\\AppData\\Local\\Temp\\GUM,Searches,
filter0401,ImageLoaded:.tmp\\\\goopdate.dll,Searches,
selection0980,ImageLoaded:\\python39.dll,Searches,
selection0980,ImageLoaded:\\python310.dll,Searches,
selection0980,ImageLoaded:\\python311.dll,Searches,
selection0980,ImageLoaded:\\python312.dll,Searches,
filter0402,ImageLoaded:C:\\Program Files\\Microsoft Visual Studio\\,Searches,
filter0403,ImageLoaded:\\cpython\\externals\\,Searches,
filter0403,ImageLoaded:\\cpython\\PCbuild\\,Searches,
filter0404,Product:Python,Searches,
filter0404,Signed:true,Searches,
filter0404,Description:Python,Searches,
filter0404,Company:Python Software Foundation,Searches,
selection0981,ImageLoaded:\\libvlc.dll,Searches,
filter0405,ImageLoaded:C:\\Program Files (x86)\\VideoLAN\\VLC\\,Searches,
filter0405,ImageLoaded:C:\\Program Files\\VideoLAN\\VLC\\,Searches,
selection0982,ImageLoaded:\\libwazuhshared.dll,Searches,
selection0982,ImageLoaded:\\libwinpthread-1.dll,Searches,
filter0406,ImageLoaded:C:\\Program Files\\,Searches,
filter0406,ImageLoaded:C:\\Program Files (x86)\\,Searches,
filter0407,ImageLoaded:\\AppData\\Local\\,Searches,
filter0407,ImageLoaded:\\ProgramData\\,Searches,
filter0407,ImageLoaded:\\mingw64\\bin\\libwinpthread-1.dll,Searches,
