:START_ID,:END_ID,:TYPE,properties
Suspicious SQL Error Messages,condition0001,Uses Condition,
Potential Remote Command Execution In Pod Container,condition0002,Uses Condition,
Kubernetes Rolebinding Modification,condition0003,Uses Condition,
Potential Sidecar Injection Into Running Deployment,condition0004,Uses Condition,
Kubernetes Events Deleted,condition0005,Uses Condition,
Creation Of Pod In System Namespace,condition0006,Uses Condition,
Kubernetes CronJob/Job Modification,condition0007,Uses Condition,
Kubernetes Secrets Modified or Deleted,condition0008,Uses Condition,
Kubernetes Admission Controller Modification,condition0009,Uses Condition,
Django Framework Exceptions,condition0010,Uses Condition,
Potential Server Side Template Injection In Velocity,condition0011,Uses Condition,
SharpHound Recon Sessions,condition0012,Uses Condition,
Remote Server Service Abuse for Lateral Movement,condition0013,Uses Condition,
Possible DCSync Attack,condition0014,Uses Condition,
SharpHound Recon Account Discovery,condition0015,Uses Condition,
Remote Schedule Task Lateral Movement via ITaskSchedulerService,condition0016,Uses Condition,
Remote Schedule Task Lateral Movement via ATSvc,condition0017,Uses Condition,
Recon Activity via SASec,condition0018,Uses Condition,
Remote Printing Abuse for Lateral Movement,condition0019,Uses Condition,
Remote DCOM/WMI Lateral Movement,condition0020,Uses Condition,
Remote Encrypting File System Abuse,condition0021,Uses Condition,
Remote Schedule Task Recon via ITaskSchedulerService,condition0022,Uses Condition,
Remote Schedule Task Lateral Movement via SASec,condition0023,Uses Condition,
Remote Schedule Task Recon via AtScv,condition0024,Uses Condition,
Remote Server Service Abuse,condition0025,Uses Condition,
Remote Registry Recon,condition0026,Uses Condition,
Remote Registry Lateral Movement,condition0027,Uses Condition,
Remote Event Log Recon,condition0028,Uses Condition,
Potential RCE Exploitation Attempt In NodeJS,condition0029,Uses Condition,
Python SQL Exceptions,condition0030,Uses Condition,
Process Execution Error In JVM Based Application,condition0031,Uses Condition,
Potential OGNL Injection Exploitation In JVM Based Application,condition0032,Uses Condition,
Potential JNDI Injection Exploitation In JVM Based Application,condition0033,Uses Condition,
Potential XXE Exploitation Attempt In JVM Based Application,condition0034,Uses Condition,
Potential Local File Read Vulnerability In JVM Based Application,condition0035,Uses Condition,
Ruby on Rails Framework Exceptions,condition0036,Uses Condition,
Spring Framework Exceptions,condition0037,Uses Condition,
Potential SpEL Injection In Spring Framework,condition0038,Uses Condition,
OpenCanary - MySQL Login Attempt,condition0039,Uses Condition,
OpenCanary - SSH New Connection Attempt,condition0040,Uses Condition,
