:START_ID,:END_ID,:TYPE,properties
selection1413,CommandLine:\\Software\\Aerofox\\FoxmailPreview,Searches,
CommandLine:\\Software\\Aerofox\\FoxmailPreview,CommandLine,Field,
CommandLine:\\Software\\Aerofox\\FoxmailPreview,\\Software\\Aerofox\\FoxmailPreview,Value,
CommandLine,\\Software\\Aerofox\\FoxmailPreview,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1413,modifier11179,Uses Modifier,
selection1413,CommandLine:\\Software\\DownloadManager\\Passwords,Searches,
CommandLine:\\Software\\DownloadManager\\Passwords,CommandLine,Field,
CommandLine:\\Software\\DownloadManager\\Passwords,\\Software\\DownloadManager\\Passwords,Value,
CommandLine,\\Software\\DownloadManager\\Passwords,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1413,modifier11180,Uses Modifier,
selection1413,CommandLine:\\Software\\FTPWare\\COREFTP\\Sites,Searches,
CommandLine:\\Software\\FTPWare\\COREFTP\\Sites,CommandLine,Field,
CommandLine:\\Software\\FTPWare\\COREFTP\\Sites,\\Software\\FTPWare\\COREFTP\\Sites,Value,
CommandLine,\\Software\\FTPWare\\COREFTP\\Sites,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1413,modifier11181,Uses Modifier,
selection1413,CommandLine:\\Software\\IncrediMail\\Identities,Searches,
CommandLine:\\Software\\IncrediMail\\Identities,CommandLine,Field,
CommandLine:\\Software\\IncrediMail\\Identities,\\Software\\IncrediMail\\Identities,Value,
CommandLine,\\Software\\IncrediMail\\Identities,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1413,modifier11182,Uses Modifier,
selection1413,CommandLine:\\Software\\Martin Prikryl\\WinSCP 2\\Sessions,Searches,
CommandLine:\\Software\\Martin Prikryl\\WinSCP 2\\Sessions,CommandLine,Field,
CommandLine:\\Software\\Martin Prikryl\\WinSCP 2\\Sessions,\\Software\\Martin Prikryl\\WinSCP 2\\Sessions,Value,
CommandLine,\\Software\\Martin Prikryl\\WinSCP 2\\Sessions,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1413,modifier11183,Uses Modifier,
selection1413,CommandLine:\\Software\\Mobatek\\MobaXterm\\,Searches,
CommandLine:\\Software\\Mobatek\\MobaXterm\\,CommandLine,Field,
CommandLine:\\Software\\Mobatek\\MobaXterm\\,\\Software\\Mobatek\\MobaXterm\\,Value,
CommandLine,\\Software\\Mobatek\\MobaXterm\\,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1413,modifier11184,Uses Modifier,
selection1413,CommandLine:\\Software\\OpenSSH\\Agent\\Keys,Searches,
