:START_ID,:END_ID,:TYPE,properties
CommandLine,&c=,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1661,modifier14335,Uses Modifier,
selection1661,CommandLine:&k=,Searches,
CommandLine:&k=,CommandLine,Field,
CommandLine:&k=,&k=,Value,
CommandLine,&k=,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1661,modifier14336,Uses Modifier,
Rar Usage with Password and Compression Level,process_creation,Monitors,
Rar Usage with Password and Compression Level,windows,Monitors,
windows,process_creation,Logs,
Rar Usage with Password and Compression Level,t1560.001,Monitors for,
Rar Usage with Password and Compression Level,collection,Monitors for,
Rar Usage with Password and Compression Level,condition1330,Uses Condition,
condition1330,selection1662,Positive,
selection1662,CommandLine: -hp,Searches,
CommandLine: -hp,CommandLine,Field,
CommandLine: -hp, -hp,Value,
CommandLine, -hp,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1662,modifier14337,Uses Modifier,
condition1330,selection1663,Positive,
selection1663,CommandLine: -m,Searches,
CommandLine: -m,CommandLine,Field,
CommandLine: -m, -m,Value,
CommandLine, -m,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1663,modifier14338,Uses Modifier,
selection1663,CommandLine: a ,Searches,
CommandLine: a ,CommandLine,Field,
CommandLine: a , a ,Value,
CommandLine, a ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1663,modifier14339,Uses Modifier,
Suspicious File Execution From Internet Hosted WebDav Share,process_creation,Monitors,
Suspicious File Execution From Internet Hosted WebDav Share,windows,Monitors,
windows,process_creation,Logs,
Suspicious File Execution From Internet Hosted WebDav Share,t1059.001,Monitors for,
Suspicious File Execution From Internet Hosted WebDav Share,execution,Monitors for,
Suspicious File Execution From Internet Hosted WebDav Share,condition1331,Uses Condition,
condition1331,selection1664,Positive,
selection1664,CommandLine: net use http,Searches,
CommandLine: net use http,CommandLine,Field,
CommandLine: net use http, net use http,Value,
CommandLine, net use http,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1664,modifier14340,Uses Modifier,
selection1664,CommandLine:& start /b ,Searches,
CommandLine:& start /b ,CommandLine,Field,
CommandLine:& start /b ,& start /b ,Value,
CommandLine,& start /b ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1664,modifier14341,Uses Modifier,
selection1664,CommandLine:\\DavWWWRoot\\,Searches,
CommandLine:\\DavWWWRoot\\,CommandLine,Field,
CommandLine:\\DavWWWRoot\\,\\DavWWWRoot\\,Value,
CommandLine,\\DavWWWRoot\\,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1664,modifier14342,Uses Modifier,
condition1331,selection1665,Positive,
selection1665,CommandLine:.exe ,Searches,
CommandLine:.exe ,CommandLine,Field,
CommandLine:.exe ,.exe ,Value,
CommandLine,.exe ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1665,modifier14343,Uses Modifier,
selection1665,CommandLine:.dll ,Searches,
CommandLine:.dll ,CommandLine,Field,
CommandLine:.dll ,.dll ,Value,
CommandLine,.dll ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1665,modifier14344,Uses Modifier,
selection1665,CommandLine:.bat ,Searches,
CommandLine:.bat ,CommandLine,Field,
CommandLine:.bat ,.bat ,Value,
CommandLine,.bat ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1665,modifier14345,Uses Modifier,
selection1665,CommandLine:.vbs ,Searches,
CommandLine:.vbs ,CommandLine,Field,
CommandLine:.vbs ,.vbs ,Value,
CommandLine,.vbs ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1665,modifier14346,Uses Modifier,
selection1665,CommandLine:.ps1 ,Searches,
CommandLine:.ps1 ,CommandLine,Field,
CommandLine:.ps1 ,.ps1 ,Value,
CommandLine,.ps1 ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1665,modifier14347,Uses Modifier,
Use of Pcalua For Execution,process_creation,Monitors,
Use of Pcalua For Execution,windows,Monitors,
windows,process_creation,Logs,
Use of Pcalua For Execution,t1059,Monitors for,
Use of Pcalua For Execution,execution,Monitors for,
Use of Pcalua For Execution,condition1332,Uses Condition,
condition1332,selection1666,Positive,
selection1666,Image:\\pcalua.exe,Searches,
Image:\\pcalua.exe,Image,Field,
Image:\\pcalua.exe,\\pcalua.exe,Value,
Image,\\pcalua.exe,Has Artifact,
process_creation,Image,Logs,
windows,Image,Logs,
selection1666,modifier14348,Uses Modifier,
selection1666,CommandLine: -a,Searches,
CommandLine: -a,CommandLine,Field,
CommandLine: -a, -a,Value,
CommandLine, -a,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1666,modifier14349,Uses Modifier,
Windows Kernel Debugger Execution,process_creation,Monitors,
Windows Kernel Debugger Execution,windows,Monitors,
windows,process_creation,Logs,
Windows Kernel Debugger Execution,defense-evasion,Monitors for,
Windows Kernel Debugger Execution,privilege-escalation,Monitors for,
Windows Kernel Debugger Execution,condition1333,Uses Condition,
Imports Registry Key From an ADS,process_creation,Monitors,
Imports Registry Key From an ADS,windows,Monitors,
windows,process_creation,Logs,
Imports Registry Key From an ADS,t1112,Monitors for,
Imports Registry Key From an ADS,defense-evasion,Monitors for,
Imports Registry Key From an ADS,condition1334,Uses Condition,
condition1334,selection1667,Positive,
selection1667,CommandLine: /i ,Searches,
CommandLine: /i ,CommandLine,Field,
CommandLine: /i , /i ,Value,
CommandLine, /i ,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1667,modifier14350,Uses Modifier,
selection1667,CommandLine:.reg,Searches,
CommandLine:.reg,CommandLine,Field,
CommandLine:.reg,.reg,Value,
CommandLine,.reg,Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1667,modifier14351,Uses Modifier,
selection1667,CommandLine::[^ \\\\],Searches,
CommandLine::[^ \\\\],CommandLine,Field,
CommandLine::[^ \\\\],:[^ \\\\],Value,
CommandLine,:[^ \\\\],Has Artifact,
process_creation,CommandLine,Logs,
windows,CommandLine,Logs,
selection1667,modifier14352,Uses Modifier,
condition1334,filter0642,Negative,
filter0642,CommandLine: -e ,Searches,
CommandLine: -e ,CommandLine,Field,
CommandLine: -e , -e ,Value,
filter0642,modifier14353,Uses Modifier,
filter0642,CommandLine: -a ,Searches,
CommandLine: -a ,CommandLine,Field,
CommandLine: -a , -a ,Value,
filter0642,modifier14354,Uses Modifier,
filter0642,CommandLine: -c ,Searches,
CommandLine: -c ,CommandLine,Field,
CommandLine: -c , -c ,Value,
filter0642,modifier14355,Uses Modifier,
Potential Persistence Via Powershell Search Order Hijacking - Task,process_creation,Monitors,
Potential Persistence Via Powershell Search Order Hijacking - Task,windows,Monitors,
windows,process_creation,Logs,
Potential Persistence Via Powershell Search Order Hijacking - Task,t1053.005,Monitors for,
Potential Persistence Via Powershell Search Order Hijacking - Task,t1059.001,Monitors for,
Potential Persistence Via Powershell Search Order Hijacking - Task,execution,Monitors for,
Potential Persistence Via Powershell Search Order Hijacking - Task,persistence,Monitors for,
Potential Persistence Via Powershell Search Order Hijacking - Task,condition1335,Uses Condition,
condition1335,selection1668,Positive,
selection1668,ParentImage:C:\\WINDOWS\\System32\\svchost.exe,Searches,
ParentImage:C:\\WINDOWS\\System32\\svchost.exe,ParentImage,Field,
ParentImage:C:\\WINDOWS\\System32\\svchost.exe,C:\\WINDOWS\\System32\\svchost.exe,Value,
ParentImage,C:\\WINDOWS\\System32\\svchost.exe,Has Artifact,
process_creation,ParentImage,Logs,
windows,ParentImage,Logs,
selection1668,ParentCommandLine:-k netsvcs,Searches,
ParentCommandLine:-k netsvcs,ParentCommandLine,Field,
