id:ID,:Definition,text
definition0001,,Requirements: application error logs must be collected (with LOG_LEVEL ERROR and above)
definition0002,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0003,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:4b324fc8-1670-01d3-1278-5a47bf6ee188 opnum:12"
definition0004,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:367abb81-9844-35f1-ad32-98f038001003"
definition0005,,"Requirements: install and apply the RPC Firewall to all processes, enable DRSR UUID (e3514235-4b06-11d1-ab04-00c04fc2dcd2) for ""dangerous"" opcodes (not 0,1 or 12) only from trusted IPs (DCs)"
definition0006,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:6bffd098-a112-3610-9833-46c3f87e345a opnum:2"
definition0007,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:86d35949-83c9-4044-b424-db363231fd0c"""
definition0008,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:1ff70682-0a51-30e8-076d-740be8cee98b"""
definition0009,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:378e52b0-c0a9-11cf-822d-00aa0051e40f"""
definition0010,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:12345678-1234-abcd-ef00-0123456789ab or 76f03f96-cdfd-44fc-a22c-64950a001209 or ae33069b-a2a8-46ee-a235-ddfd339be281 or 0b6edbfa-4a24-4fc6-8a23-942b1eca65d1"
definition0011,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:367abb81-9844-35f1-ad32-98f038001003"
definition0012,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:df1941c5-fe89-4e79-bf10-463657acf44d or c681d488-d850-11d0-8c52-00c04fd90f7e"
definition0013,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:86d35949-83c9-4044-b424-db363231fd0c"""
definition0014,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:378e52b0-c0a9-11cf-822d-00aa0051e40f"""
definition0015,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:1ff70682-0a51-30e8-076d-740be8cee98b"""
definition0016,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:4b324fc8-1670-01d3-1278-5a47bf6ee188"
definition0017,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:338cd001-2244-31f1-aaaa-900038001003"""
definition0018,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:338cd001-2244-31f1-aaaa-900038001003"""
definition0019,,"Requirements: install and apply the RPC Firewall to all processes with ""audit:true action:block uuid:82273fdc-e32a-18c3-3f78-827929dc23ea and uuid:f6beaff7-1e19-4fbb-9f8f-b89e2018337c"""
definition0020,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0021,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0022,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0023,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0024,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0025,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0026,,Requirements: application error logs must be collected (with LOG_LEVEL=ERROR and above)
definition0027,,Requirements: The TargetResources array needs to be mapped accurately in order for this rule to work
definition0028,,"Requirements: ""Advance"" log level is required to receive these audit events."
definition0029,,"Requirements: ""Advance"" log level is required to receive these audit events."
definition0030,,"Requirements: ""Basic"" log level is required to receive these audit events."
definition0031,,"Requirements: ""Advance"" log level is required to receive these audit events."
