"id:ID",":Modifier","type"
"modifier0001","","contains"
"modifier0002","","contains"
"modifier0003","","contains"
"modifier0004","","contains"
"modifier0005","","contains"
"modifier0006","","contains"
"modifier0007","","contains"
"modifier0008","","contains"
"modifier0009","","contains"
"modifier0010","","contains"
"modifier0011","","contains"
"modifier0012","","contains"
"modifier0013","","contains"
"modifier0014","","contains"
"modifier0015","","contains"
"modifier0016","","contains"
"modifier0017","","contains"
"modifier0018","","contains"
"modifier0019","","contains"
"modifier0020","","contains"
"modifier0021","","contains"
"modifier0022","","contains"
"modifier0023","","contains"
"modifier0024","","contains"
"modifier0025","","contains"
"modifier0026","","contains"
"modifier0027","","contains"
"modifier0028","","contains"
"modifier0029","","contains"
"modifier0030","","contains"
"modifier0031","","contains"
"modifier0032","","contains"
"modifier0033","","contains"
"modifier0034","","contains"
"modifier0035","","contains"
"modifier0036","","contains"
"modifier0037","","contains"
"modifier0038","","contains"
"modifier0039","","contains"
"modifier0040","","contains"
"modifier0041","","contains"
"modifier0042","","contains"
"modifier0043","","contains"
"modifier0044","","contains"
"modifier0045","","contains"
"modifier0046","","contains"
"modifier0047","","contains"
"modifier0048","","contains"
"modifier0049","","endswith"
"modifier0050","","contains"
"modifier0051","","endswith"
"modifier0052","","contains"
"modifier0053","","endswith"
"modifier0054","","contains|all"
"modifier0055","","contains|all"
"modifier0056","","contains|all"
"modifier0057","","contains"
"modifier0058","","endswith"
"modifier0059","","endswith"
"modifier0060","","endswith"
"modifier0061","","endswith"
"modifier0062","","contains|all"
"modifier0063","","contains|all"
"modifier0064","","contains|all"
"modifier0065","","contains|all"
"modifier0066","","endswith"
"modifier0067","","endswith"
"modifier0068","","contains"
"modifier0069","","contains"
"modifier0070","","contains"
"modifier0071","","contains"
"modifier0072","","endswith"
"modifier0073","","endswith"
"modifier0074","","contains|all"
"modifier0075","","contains|all"
"modifier0076","","endswith"
"modifier0077","","endswith"
"modifier0078","","contains|all"
"modifier0079","","contains|all"
"modifier0080","","contains|all"
"modifier0081","","endswith"
"modifier0082","","contains|all"
"modifier0083","","contains|all"
"modifier0084","","contains|all"
"modifier0085","","endswith"
"modifier0086","","contains"
"modifier0087","","contains"
"modifier0088","","contains"
"modifier0089","","endswith"
"modifier0090","","contains"
"modifier0091","","contains"
"modifier0092","","contains"
"modifier0093","","contains"
"modifier0094","","contains"
"modifier0095","","contains"
"modifier0096","","contains"
"modifier0097","","contains"
"modifier0098","","contains"
"modifier0099","","contains"
"modifier0100","","contains"
"modifier0101","","contains"
"modifier0102","","contains"
"modifier0103","","contains"
"modifier0104","","contains"
"modifier0105","","contains"
"modifier0106","","contains"
"modifier0107","","contains"
"modifier0108","","contains|all"
"modifier0109","","contains|all"
"modifier0110","","endswith"
"modifier0111","","contains"
"modifier0112","","contains"
"modifier0113","","contains|all"
"modifier0114","","contains|all"
"modifier0115","","contains|all"
"modifier0116","","endswith"
"modifier0117","","endswith"
"modifier0118","","contains"
"modifier0119","","contains"
"modifier0120","","contains"
"modifier0121","","contains"
"modifier0122","","endswith"
"modifier0123","","contains"
"modifier0124","","contains"
"modifier0125","","contains"
"modifier0126","","contains"
"modifier0127","","contains"
"modifier0128","","contains"
"modifier0129","","contains"
"modifier0130","","contains"
"modifier0131","","contains"
"modifier0132","","endswith"
"modifier0133","","endswith"
"modifier0134","","endswith"
"modifier0135","","endswith"
"modifier0136","","endswith"
"modifier0137","","endswith"
"modifier0138","","endswith"
"modifier0139","","endswith"
"modifier0140","","endswith"
"modifier0141","","endswith"
"modifier0142","","endswith"
"modifier0143","","endswith"
"modifier0144","","endswith"
"modifier0145","","endswith"
"modifier0146","","contains"
"modifier0147","","contains"
"modifier0148","","contains"
"modifier0149","","contains"
"modifier0150","","contains"
"modifier0151","","contains"
"modifier0152","","contains"
"modifier0153","","contains"
"modifier0154","","contains"
"modifier0155","","contains"
"modifier0156","","endswith"
"modifier0157","","endswith"
"modifier0158","","endswith"
"modifier0159","","endswith"
"modifier0160","","endswith"
"modifier0161","","endswith"
"modifier0162","","endswith"
"modifier0163","","endswith"
"modifier0164","","endswith"
"modifier0165","","endswith"
"modifier0166","","endswith"
"modifier0167","","contains|all"
"modifier0168","","contains|all"
"modifier0169","","contains|all"
"modifier0170","","contains|all"
"modifier0171","","endswith"
"modifier0172","","contains"
"modifier0173","","endswith"
"modifier0174","","contains"
"modifier0175","","contains"
"modifier0176","","contains"
"modifier0177","","endswith"
"modifier0178","","contains|all"
"modifier0179","","contains|all"
"modifier0180","","endswith"
"modifier0181","","contains|all"
"modifier0182","","contains|all"
"modifier0183","","contains|all"
"modifier0184","","contains|all"
"modifier0185","","contains|all"
"modifier0186","","contains"
"modifier0187","","contains"
"modifier0188","","contains"
"modifier0189","","contains"
"modifier0190","","contains"
"modifier0191","","contains"
"modifier0192","","contains"
"modifier0193","","contains"
"modifier0194","","contains"
"modifier0195","","contains"
"modifier0196","","endswith"
"modifier0197","","contains|all"
"modifier0198","","contains|all"
"modifier0199","","endswith"
"modifier0200","","contains"
"modifier0201","","endswith"
"modifier0202","","contains"
"modifier0203","","contains"
"modifier0204","","contains"
"modifier0205","","contains"
"modifier0206","","endswith"
"modifier0207","","endswith"
"modifier0208","","contains"
"modifier0209","","endswith"
"modifier0210","","contains"
"modifier0211","","contains"
"modifier0212","","endswith"
"modifier0213","","contains"
"modifier0214","","contains"
"modifier0215","","contains"
"modifier0216","","contains"
"modifier0217","","contains"
"modifier0218","","contains"
"modifier0219","","contains"
"modifier0220","","contains"
"modifier0221","","endswith"
"modifier0222","","endswith"
"modifier0223","","endswith"
"modifier0224","","contains"
"modifier0225","","contains|all"
