id:ID,:Title,description,rule_id
.RDP File Created By Uncommon Application,,"Detects creation of a file with an "".rdp"" extension by an application that doesn't commonly create such files.
",fccfb43e-09a7-4bd2-8b37-a5a7df33386d
.RDP File Created by Outlook Process,,"Detects the creation of files with the "".rdp"" extensions in the temporary directory that Outlook uses when opening attachments.
This can be used to detect spear-phishing campaigns that use RDP files as attachments.
",f748c45a-f8d3-4e6f-b617-fe176f695b8f
7Zip Compressing Dump Files,,"Detects execution of 7z in order to compress a file with a "".dmp""/"".dump"" extension, which could be a step in a process of dump file exfiltration.",ec570e53-4c76-45a9-804d-dc3f355ff7a7
A New Trust Was Created To A Domain,,Addition of domains is seldom and should be verified for legitimacy.,0255a820-e564-4e40-af2b-6ac61160335c
A Rule Has Been Deleted From The Windows Firewall Exception List,,Detects when a single rules or all of the rules have been deleted from the Windows Defender Firewall,c187c075-bb3e-4c62-b4fa-beae0ffc211f
AADInternals PowerShell Cmdlets Execution - ProccessCreation,,Detects ADDInternals Cmdlet execution. A tool for administering Azure AD and Office 365. Which can be abused by threat actors to attack Azure AD or Office 365.,c86500e9-a645-4680-98d7-f882c70c1ea3
AADInternals PowerShell Cmdlets Execution - PsScript,,Detects ADDInternals Cmdlet execution. A tool for administering Azure AD and Office 365. Which can be abused by threat actors to attack Azure AD or Office 365.,91e69562-2426-42ce-a647-711b8152ced6
AD Object WriteDAC Access,,Detects WRITE_DAC access to a domain object,028c7842-4243-41cd-be6f-12f3cf1a26c7
AD Privileged Users or Groups Reconnaissance,,Detect priv users or groups recon based on 4661 eventid and known privileged users or groups SIDs,35ba1d85-724d-42a3-889f-2e2362bcaf23
ADCS Certificate Template Configuration Vulnerability with Risky EKU,,Detects certificate creation with template allowing risk permission subject and risky EKU,bfbd3291-de87-4b7c-88a2-d6a5deb28668
ADFS Database Named Pipe Connection By Uncommon Tool,,"Detects suspicious local connections via a named pipe to the AD FS configuration database (Windows Internal Database).
Used to access information such as the AD FS configuration settings which contains sensitive information used to sign SAML tokens.
",1ea13e8c-03ea-409b-877d-ce5c3d2c1cb3
ADS Zone.Identifier Deleted By Uncommon Application,,"Detects the deletion of the ""Zone.Identifier"" ADS by an uncommon process. Attackers can leverage this in order to bypass security restrictions that make use of the ADS such as Microsoft Office apps.",3109530e-ab47-4cc6-a953-cac5ebcc93ae
ADSI-Cache File Creation By Uncommon Tool,,"Detects the creation of an ""Active Directory Schema Cache File"" (.sch) file by an uncommon tool.",75bf09fa-1dd7-4d18-9af9-dd9e492562eb
ADSelfService Exploitation,,Detects suspicious access to URLs that was noticed in cases in which attackers exploitated the ADSelfService vulnerability CVE-2021-40539,6702b13c-e421-44cc-ab33-42cc25570f11
AMSI Bypass Pattern Assembly GetType,,Detects code fragments found in small and obfuscated AMSI bypass PowerShell scripts,e0d6c087-2d1c-47fd-8799-3904103c5a98
APT PRIVATELOG Image Load Pattern,,Detects an image load pattern as seen when a tool named PRIVATELOG is used and rarely observed under legitimate circumstances,33a2d1dd-f3b0-40bd-8baf-7974468927cc
APT User Agent,,Detects suspicious user agent strings used in APT malware in proxy logs,6ec820f2-e963-4801-9127-d8b2dce4d31b
APT27 - Emissary Panda Activity,,Detects the execution of DLL side-loading malware used by threat group Emissary Panda aka APT27,9aa01d62-7667-4d3b-acb8-8cb5103e2014
